Điểm,Tần suất
0.6,1
0.75,1
0.8,1
1.0,10
1.2,9
1.25,5
1.4,14
1.5,11
1.6,31
1.75,28
1.8,61
2.0,168
2.2,170
2.25,89
2.4,237
2.5,122
2.6,281
2.75,202
2.8,348
3.0,717
3.2,478
3.25,395
3.4,516
3.5,557
3.6,513
3.75,686
3.8,526
4.0,1482
4.2,550
4.25,990
4.4,591
4.5,1248
4.6,593
4.75,1485
4.8,559
5.0,2461
5.2,608
5.25,1994
5.4,634
5.5,2467
5.6,631
5.75,2731
5.8,639
6.0,3635
6.2,658
6.25,3259
6.4,669
6.5,3575
6.6,718
6.75,3716
6.8,683
7.0,4524
7.2,787
7.25,3862
7.4,777
7.5,3553
7.6,841
7.75,3364
7.8,925
8.0,3762
8.2,1024
8.25,2512
8.4,1006
8.5,2100
8.6,1110
8.75,1565
8.8,1056
9.0,2177
9.2,902
9.25,808
9.4,605
9.5,453
9.6,414
9.75,292
9.8,178
10.0,137
