Điểm,Tần suất
0.25,1
0.5,2
0.75,12
1.0,6
1.25,58
1.5,95
1.75,130
2.0,214
2.25,307
2.33,2
2.42,1
2.5,457
2.58,1
2.71,1
2.75,612
3.0,867
3.17,2
3.25,1005
3.33,1
3.4,1
3.5,1317
3.58,3
3.6,1
3.67,3
3.75,1520
3.83,3
3.9,1
3.91,3
3.92,5
4.0,1929
4.08,4
4.17,4
4.25,2069
4.33,2
4.42,5
4.5,2384
4.58,3
4.61,1
4.62,2
4.67,13
4.68,1
4.7,1
4.73,1
4.75,2552
4.83,8
4.91,1
4.92,3
5.0,3306
5.08,8
5.13,1
5.16,3
5.17,13
5.25,3204
5.33,17
5.41,2
5.42,14
5.5,3762
5.58,14
5.6,2
5.66,1
5.67,13
5.75,3733
5.8,1
5.83,21
5.91,2
5.92,11
6.0,4562
6.08,16
6.13,1
6.16,7
6.17,21
6.2,1
6.25,4170
6.33,20
6.4,2
6.41,6
6.42,25
6.47,1
6.5,4835
6.58,32
6.59,1
6.6,1
6.66,2
6.67,31
6.73,1
6.75,4636
6.8,1
6.82,1
6.83,22
6.9,1
6.91,4
6.92,18
7.0,5441
7.08,24
7.1,1
7.16,2
7.17,21
7.2,1
7.25,4753
7.33,19
7.35,1
7.41,3
7.42,18
7.5,5723
7.57,1
7.58,15
7.6,2
7.62,1
7.66,1
7.67,9
7.73,1
7.75,5502
7.83,17
7.91,1
7.92,7
7.98,1
8.0,6484
8.08,13
8.12,1
8.17,2
8.2,1
8.25,5616
8.33,3
8.4,2
8.42,3
8.5,5182
8.6,1
8.67,1
8.75,3731
9.0,2741
9.2,1
9.25,1148
9.5,377
9.75,80
10.0,19
